Protease name	Protease accession	List count (total = 6)	DB count (total = 46)	Fold enrichment	Fold coverage	Fisher Exact Test	Adjusted Fisher Exact Test
DPP2	Q9UHL4	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
PPCE	P48147	2	4	3.83333333333333	0.5	0.135922306729564	0.396710755308037
TPP1	O14773	3	5	4.6	0.6	0.0398052510693308	0.396710755308037
NEP	P08473	2	8	1.91666666666667	0.25	0.324485964598603	0.401337903582483
CATK	P43235	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
PREP	Q5JRX3	2	3	5.11111111111111	0.666666666666667	0.095844491642813	0.396710755308037
MEP1A	Q16819	2	4	3.83333333333333	0.5	0.135922306729564	0.396710755308037
CATH	P09668	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
THOP1	P52888	3	4	5.75	0.75	0.0261439436658458	0.396710755308037
ACE2	Q9BYF1	3	5	4.6	0.6	0.0398052510693308	0.396710755308037
ECE1	P42892	3	6	3.83333333333333	0.5	0.0567783905706304	0.396710755308037
ECE2	O60344	2	4	3.83333333333333	0.5	0.135922306729564	0.396710755308037
PCP	P42785	2	2	7.66666666666667	1.0	0.0607997044971815	0.396710755308037
MMEL1	Q495T6	2	3	5.11111111111111	0.666666666666667	0.095844491642813	0.396710755308037
IDE	P14735	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
MMP8	P22894	2	4	3.83333333333333	0.5	0.135922306729564	0.396710755308037
CBPB2	Q96IY4	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CBPM	P14384	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CBPN	P15169	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CMA1	P23946	2	4	3.83333333333333	0.5	0.135922306729564	0.396710755308037
CAN1	P07384	1	3	2.55555555555556	0.333333333333333	0.397229661095194	0.434181257476143
CAN2	P17655	1	3	2.55555555555556	0.333333333333333	0.397229661095194	0.434181257476143
LGMN	Q99538	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CATD	P18242	1	3	2.55555555555556	0.333333333333333	0.397229661095194	0.434181257476143
CATE	P70269	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
MAP1	P0AE18	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CATB	P07858	1	3	2.55555555555556	0.333333333333333	0.397229661095194	0.434181257476143
CBPA6	Q8N4T0	1	3	2.55555555555556	0.333333333333333	0.397229661095194	0.434181257476143
PRTN3	P24158	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
CATG	P08311	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
CEL2A	P08217	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
ELNE	P08246	1	5	1.53333333333333	0.2	0.539906682804048	0.563902535373117
CBPA3	P15088	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
CBPA4	Q9UI42	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
PPGB	P10619	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
RENI	P00797	1	1	7.66666666666667	1.0	0.219457013574659	0.396710755308037
KLK13	Q9UKR3	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK8	O60259	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK5	Q9Y337	1	8	0.958333333333333	0.125	0.700545324512778	0.700545324512778
KLK3	P07288	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK14	Q9P0G3	1	5	1.53333333333333	0.2	0.539906682804048	0.563902535373117
KLK7	P49862	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK4	Q9Y5K2	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK11	Q9UBX7	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK2	P20151	1	7	1.0952380952381	0.142857142857143	0.653263007330586	0.667464377055164
KLK12	Q9UKR0	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
KLK6	Q92876	1	2	3.83333333333333	0.5	0.313122171945698	0.397749785985075
